comparison_type,treat_cohort,control_cohort,did_estimate,weight,n_treat,n_control,t_pre,t_post,weight_normalized
Treated vs Never-Treated,2001,Never,,-0.041785375118708445,1,26,-9,22,-0.008244591380943356
Treated vs Never-Treated,2004,Never,,-0.02405824628046849,1,26,-6,19,-0.004746885946603749
Treated vs Never-Treated,2005,Never,,-0.018993352326685656,1,26,-5,18,-0.0037475415367924344
Treated vs Never-Treated,2008,Never,,-0.011773940345368909,2,26,-2,15,-0.002323093350613676
Treated vs Never-Treated,2011,Never,0.1297629845034971,0.0025324469768914196,1,26,1,12,0.0004996722049056577
Treated vs Never-Treated,2012,Never,0.12683624163172214,0.004642819457634271,1,26,2,11,0.0009160657089937061
Treated vs Never-Treated,2013,Never,-0.08386167950199375,0.016463916582822646,3,26,3,10,0.003248463472439578
Treated vs Never-Treated,2014,Never,0.02375130536231229,0.0141287284144427,2,26,4,9,0.0027877120207364134
Treated vs Never-Treated,2015,Never,0.014421812002455403,0.008441489922971402,1,26,5,8,0.001665574016352193
Treated vs Never-Treated,2017,Never,0.2643723971293124,0.016483516483516484,2,26,7,6,0.0032523306908591493
Treated vs Never-Treated,2018,Never,0.04971067376023697,0.015698587127158558,2,26,8,5,0.0030974578008182378
Treated vs Never-Treated,2019,Never,0.05767532114920293,0.019756699899387175,3,26,9,4,0.0038981561669274934
Treated vs Never-Treated,2020,Never,-0.05966432074391137,0.016463916582822646,3,26,10,3,0.003248463472439578
Treated vs Never-Treated,2021,Never,0.16838620220611045,0.008634222919937207,2,26,11,2,0.0017036017904500306
Later vs Earlier Treated,2004,2001,,-0.16863905325443782,1,1,3,19,-0.03327384476032821
Later vs Earlier Treated,2005,2001,,-0.1331360946745562,1,1,4,18,-0.02626882481078543
Later vs Earlier Treated,2008,2001,,-0.039447731755424036,2,1,7,15,-0.007783355499491975
Earlier vs Later Treated,2001,2011,,0.04437869822485207,1,1,-9,10,0.008756274936928477
Later vs Earlier Treated,2011,2001,0.12684867107431008,0.01775147928994082,1,1,10,12,0.0035025099747713895
Earlier vs Later Treated,2001,2012,,0.03254437869822485,1,1,-9,11,0.006421268287080884
Later vs Earlier Treated,2012,2001,0.15407524263276018,0.03254437869822485,1,1,11,11,0.006421268287080884
Earlier vs Later Treated,2001,2013,,0.013313609467455613,1,3,-9,12,0.0026268824810785417
Later vs Earlier Treated,2013,2001,-0.049690783070119426,0.03328402366863905,3,1,12,10,0.006567206202696358
Earlier vs Later Treated,2001,2014,,0.0,1,2,-9,13,0.0
Later vs Earlier Treated,2014,2001,0.09864034314351977,0.047337278106508875,2,1,13,9,0.009340026599390377
Earlier vs Later Treated,2001,2015,,-0.020710059171597617,1,1,-9,14,-0.004086261637233287
Later vs Earlier Treated,2015,2001,0.0703562413063733,0.05917159763313609,1,1,14,8,0.01167503324923797
Earlier vs Later Treated,2001,2017,,-0.06311637080867852,1,2,-9,16,-0.012453368799187172
Later vs Earlier Treated,2017,2001,0.3031901776156348,0.055226824457593686,2,1,16,6,0.010896697699288773
Earlier vs Later Treated,2001,2018,,-0.08941485864562787,1,2,-9,17,-0.017642272465515155
Later vs Earlier Treated,2018,2001,0.06657081245484742,0.05259697567389875,2,1,17,5,0.010377807332655975
Earlier vs Later Treated,2001,2019,,-0.09985207100591714,1,3,-9,18,-0.019701618608089073
Later vs Earlier Treated,2019,2001,0.04926462789731367,0.03994082840236687,3,1,18,4,0.007880647443235632
Earlier vs Later Treated,2001,2020,,-0.12647928994082835,1,3,-9,19,-0.024955383570246154
Later vs Earlier Treated,2020,2001,-0.1013228575597348,0.03328402366863905,3,1,19,3,0.006567206202696358
Earlier vs Later Treated,2001,2021,,-0.18408941485864563,1,2,-9,20,-0.03632232566429591
Later vs Earlier Treated,2021,2001,0.10390928858781923,0.028928336620644313,2,1,20,2,0.0057077940329607856
Later vs Earlier Treated,2005,2004,,-0.1331360946745562,1,1,1,18,-0.02626882481078543
Later vs Earlier Treated,2008,2004,,-0.039447731755424036,2,1,4,15,-0.007783355499491975
Earlier vs Later Treated,2004,2011,,0.0621301775147929,1,1,-6,7,0.012258784911699868
Later vs Earlier Treated,2011,2004,0.006921439032533838,0.01775147928994082,1,1,7,12,0.0035025099747713895
Earlier vs Later Treated,2004,2012,,0.05917159763313609,1,1,-6,8,0.01167503324923797
Later vs Earlier Treated,2012,2004,0.05136218870323328,0.03254437869822485,1,1,8,11,0.006421268287080884
Earlier vs Later Treated,2004,2013,,0.03994082840236687,1,3,-6,9,0.007880647443235632
Later vs Earlier Treated,2013,2004,-0.3001658694908763,0.03328402366863905,3,1,9,10,0.006567206202696358
Earlier vs Later Treated,2004,2014,,0.039447731755424056,1,2,-6,10,0.0077833554994919795
Later vs Earlier Treated,2014,2004,-0.20528475634524035,0.047337278106508875,2,1,10,9,0.009340026599390377
Earlier vs Later Treated,2004,2015,,0.03254437869822485,1,1,-6,11,0.006421268287080884
Later vs Earlier Treated,2015,2004,-0.21996534699434744,0.05917159763313609,1,1,11,8,0.01167503324923797
Earlier vs Later Treated,2004,2017,,0.0,1,2,-6,13,0.0
Later vs Earlier Treated,2017,2004,-0.010583689055168932,0.055226824457593686,2,1,13,6,0.010896697699288773
Earlier vs Later Treated,2004,2018,,-0.018408941485864548,1,2,-6,14,-0.003632232566429588
Later vs Earlier Treated,2018,2004,-0.2123570416438273,0.05259697567389875,2,1,14,5,0.010377807332655975
Earlier vs Later Treated,2004,2019,,-0.03328402366863903,1,3,-6,15,-0.0065672062026963535
Later vs Earlier Treated,2019,2004,-0.19008944957723117,0.03994082840236687,3,1,15,4,0.007880647443235632
Earlier vs Later Treated,2004,2020,,-0.05325443786982251,1,3,-6,16,-0.010507529924314179
Later vs Earlier Treated,2020,2004,-0.3907178147069036,0.03328402366863905,3,1,16,3,0.006567206202696358
Earlier vs Later Treated,2004,2021,,-0.08941485864562787,1,2,-6,17,-0.017642272465515155
Later vs Earlier Treated,2021,2004,-0.11099483842418134,0.028928336620644313,2,1,17,2,0.0057077940329607856
Later vs Earlier Treated,2008,2005,,-0.039447731755424036,2,1,3,15,-0.007783355499491975
Earlier vs Later Treated,2005,2011,,0.0621301775147929,1,1,-5,6,0.012258784911699868
Later vs Earlier Treated,2011,2005,0.23478588191368288,0.01775147928994082,1,1,6,12,0.0035025099747713895
Earlier vs Later Treated,2005,2012,,0.0621301775147929,1,1,-5,7,0.012258784911699868
Later vs Earlier Treated,2012,2005,0.06211158852969567,0.03254437869822485,1,1,7,11,0.006421268287080884
Earlier vs Later Treated,2005,2013,,0.04437869822485207,1,3,-5,8,0.008756274936928477
Later vs Earlier Treated,2013,2005,-0.17073940746744898,0.03328402366863905,3,1,8,10,0.006567206202696358
Earlier vs Later Treated,2005,2014,,0.047337278106508875,1,2,-5,9,0.009340026599390377
Later vs Earlier Treated,2014,2005,-0.020337747449529986,0.047337278106508875,2,1,9,9,0.009340026599390377
Earlier vs Later Treated,2005,2015,,0.04437869822485207,1,1,-5,10,0.008756274936928477
Later vs Earlier Treated,2015,2005,-0.05374827868539811,0.05917159763313609,1,1,10,8,0.01167503324923797
Earlier vs Later Treated,2005,2017,,0.015779092702169616,1,2,-5,12,0.0031133421997967905
Later vs Earlier Treated,2017,2005,0.18975065175139427,0.055226824457593686,2,1,12,6,0.010896697699288773
Earlier vs Later Treated,2005,2018,,0.0,1,2,-5,13,0.0
Later vs Earlier Treated,2018,2005,-0.02996830682821572,0.05259697567389875,2,1,13,5,0.010377807332655975
Earlier vs Later Treated,2005,2019,,-0.015532544378698214,1,3,-5,14,-0.0030646962279249654
Later vs Earlier Treated,2019,2005,-0.007820658331159858,0.03994082840236687,3,1,14,4,0.007880647443235632
Earlier vs Later Treated,2005,2020,,-0.03328402366863903,1,3,-5,15,-0.0065672062026963535
Later vs Earlier Treated,2020,2005,-0.1582272146826771,0.03328402366863905,3,1,15,3,0.006567206202696358
Earlier vs Later Treated,2005,2021,,-0.06311637080867852,1,2,-5,16,-0.012453368799187172
Later vs Earlier Treated,2021,2005,0.011080951389424776,0.028928336620644313,2,1,16,2,0.0057077940329607856
Earlier vs Later Treated,2008,2011,,0.039447731755424056,2,1,-2,3,0.0077833554994919795
Later vs Earlier Treated,2011,2008,-0.02771830212318982,0.015779092702169616,1,2,3,12,0.0031133421997967905
Earlier vs Later Treated,2008,2012,,0.047337278106508875,2,1,-2,4,0.009340026599390377
Later vs Earlier Treated,2012,2008,0.00031834824509180404,0.028928336620644313,1,2,4,11,0.0057077940329607856
Earlier vs Later Treated,2008,2013,,0.056804733727810655,2,3,-2,5,0.011208031919268453
Later vs Earlier Treated,2013,2008,-0.22241349033272484,0.04260355029585798,3,2,5,10,0.008406023939451338
Earlier vs Later Treated,2008,2014,,0.0621301775147929,2,2,-2,6,0.012258784911699868
Later vs Earlier Treated,2014,2008,-0.10347917307354892,0.05325443786982249,2,2,6,9,0.010507529924314174
Earlier vs Later Treated,2008,2015,,0.055226824457593686,2,1,-2,7,0.010896697699288773
Later vs Earlier Treated,2015,2008,-0.12190230480343567,0.052596975673898747,1,2,7,8,0.010377807332655973
Earlier vs Later Treated,2008,2017,,0.05325443786982249,2,2,-2,9,0.010507529924314174
Later vs Earlier Treated,2017,2008,0.1162944282883982,0.0621301775147929,2,2,9,6,0.012258784911699868
Earlier vs Later Treated,2008,2018,,0.04437869822485207,2,2,-2,10,0.008756274936928477
Later vs Earlier Treated,2018,2008,-0.08969560074699146,0.0591715976331361,2,2,10,5,0.011675033249237972
Earlier vs Later Treated,2008,2019,,0.031242603550295858,2,3,-2,11,0.006164417555597649
Later vs Earlier Treated,2019,2008,-0.08918653000575094,0.05112426035502959,3,2,11,4,0.010087228727341607
Earlier vs Later Treated,2008,2020,,0.017041420118343184,2,3,-2,12,0.0033624095757805333
Later vs Earlier Treated,2020,2008,-0.21570577634412813,0.04260355029585798,3,2,12,3,0.008406023939451338
Earlier vs Later Treated,2008,2021,,0.0,2,2,-2,13,0.0
Later vs Earlier Treated,2021,2008,-0.01892123855333827,0.03254437869822485,2,2,13,2,0.006421268287080884
Earlier vs Later Treated,2011,2012,0.10838783612781255,0.01775147928994083,1,1,1,1,0.003502509974771391
Later vs Earlier Treated,2012,2011,0.026772161352355273,0.03254437869822485,1,1,1,11,0.006421268287080884
Earlier vs Later Treated,2011,2013,-0.0001367583484361834,0.02440828402366864,1,3,1,2,0.004815951215310663
Later vs Earlier Treated,2013,2011,-0.20445699351102808,0.03328402366863905,3,1,2,10,0.006567206202696358
Earlier vs Later Treated,2011,2014,0.007671363110397511,0.039447731755424056,1,2,1,3,0.0077833554994919795
Later vs Earlier Treated,2014,2011,-0.1128071851127388,0.047337278106508875,2,1,3,9,0.009340026599390377
Earlier vs Later Treated,2011,2015,0.19328516643838844,0.05325443786982249,1,1,1,4,0.010507529924314174
Later vs Earlier Treated,2015,2011,-0.04346770373881592,0.05917159763313609,1,1,4,8,0.01167503324923797
Earlier vs Later Treated,2011,2017,-0.018002747585793788,0.055226824457593686,1,2,1,6,0.010896697699288773
Later vs Earlier Treated,2017,2011,0.16849731523380862,0.055226824457593686,2,1,6,6,0.010896697699288773
Earlier vs Later Treated,2011,2018,0.0580145597252717,0.055226824457593686,1,2,1,7,0.010896697699288773
Later vs Earlier Treated,2018,2011,-0.0677176020114868,0.05259697567389875,2,1,7,5,0.010377807332655975
Earlier vs Later Treated,2011,2019,0.14022796404352245,0.04437869822485207,1,3,1,8,0.008756274936928477
Later vs Earlier Treated,2019,2011,-0.0999704237368566,0.03994082840236687,3,1,8,4,0.007880647443235632
Earlier vs Later Treated,2011,2020,0.08494970023801596,0.03994082840236687,1,3,1,9,0.007880647443235632
Later vs Earlier Treated,2020,2011,-0.2020942032159826,0.03328402366863905,3,1,9,3,0.006567206202696358
Earlier vs Later Treated,2011,2021,-0.02735430579309117,0.039447731755424056,1,2,1,10,0.0077833554994919795
Later vs Earlier Treated,2021,2011,-0.024277285863826936,0.028928336620644313,2,1,10,2,0.0057077940329607856
Earlier vs Later Treated,2012,2013,-0.09489211700732159,0.013313609467455622,1,3,2,1,0.0026268824810785434
Later vs Earlier Treated,2013,2012,-0.29593816461002986,0.03328402366863905,3,1,1,10,0.006567206202696358
Earlier vs Later Treated,2012,2014,-0.10148304611197889,0.028928336620644313,1,2,2,2,0.0057077940329607856
Later vs Earlier Treated,2014,2012,-0.1658706223986729,0.047337278106508875,2,1,2,9,0.009340026599390377
Earlier vs Later Treated,2012,2015,-0.012402341311390952,0.04437869822485207,1,1,2,3,0.008756274936928477
Later vs Earlier Treated,2015,2012,-0.11781763839102466,0.05917159763313609,1,1,3,8,0.01167503324923797
Earlier vs Later Treated,2012,2017,-0.015457211501345047,0.05259697567389875,1,2,2,5,0.010377807332655975
Later vs Earlier Treated,2017,2012,0.1666101160227359,0.055226824457593686,2,1,5,6,0.010896697699288773
Earlier vs Later Treated,2012,2018,0.07817744054000297,0.055226824457593686,1,2,2,6,0.010896697699288773
Later vs Earlier Treated,2018,2012,-0.04278699136024755,0.05259697567389875,2,1,6,5,0.010377807332655975
Earlier vs Later Treated,2012,2019,0.09468041029054253,0.04659763313609468,1,3,2,7,0.009194088683774903
Later vs Earlier Treated,2019,2012,-0.03716338157762511,0.03994082840236687,3,1,7,4,0.007880647443235632
Earlier vs Later Treated,2012,2020,0.03274354637600785,0.04437869822485207,1,3,2,8,0.008756274936928477
Later vs Earlier Treated,2020,2012,-0.21496923903907827,0.03328402366863905,3,1,8,3,0.006567206202696358
Earlier vs Later Treated,2012,2021,0.005943437572162091,0.047337278106508875,1,2,2,9,0.009340026599390377
Later vs Earlier Treated,2021,2012,-0.0483942486152118,0.028928336620644313,2,1,9,2,0.0057077940329607856
Earlier vs Later Treated,2013,2014,-0.09880605401795028,0.017041420118343194,3,2,3,1,0.0033624095757805355
Later vs Earlier Treated,2014,2013,0.04997235875392336,0.05112426035502959,2,3,1,9,0.010087228727341607
Earlier vs Later Treated,2013,2015,-0.17669483737219172,0.02440828402366864,3,1,3,2,0.004815951215310663
Later vs Earlier Treated,2015,2013,-0.03102727369569125,0.04437869822485207,1,3,2,8,0.008756274936928477
Earlier vs Later Treated,2013,2017,-0.24429587304293932,0.05112426035502959,3,2,3,4,0.010087228727341607
Later vs Earlier Treated,2017,2013,0.16311679927255174,0.05964497041420118,2,3,4,6,0.011768433515231875
Earlier vs Later Treated,2013,2018,-0.11811441087843833,0.056804733727810655,3,2,3,5,0.011208031919268453
Later vs Earlier Treated,2018,2013,0.01601960266381719,0.056804733727810655,2,3,5,5,0.011208031919268453
Earlier vs Later Treated,2013,2019,-0.0641159783359303,0.0621301775147929,3,3,3,6,0.012258784911699868
Later vs Earlier Treated,2019,2013,0.05850398126093326,0.05325443786982249,3,3,6,4,0.010507529924314174
Earlier vs Later Treated,2013,2020,-0.15992120894260475,0.0621301775147929,3,3,3,7,0.012258784911699868
Later vs Earlier Treated,2020,2013,-0.08631761583766817,0.04437869822485207,3,3,7,3,0.008756274936928477
Earlier vs Later Treated,2013,2021,-0.17223824843453928,0.05680473372781065,3,2,3,8,0.011208031919268452
Later vs Earlier Treated,2021,2013,0.124707236162648,0.031242603550295858,2,3,8,2,0.006164417555597649
Earlier vs Later Treated,2014,2015,-0.013525504424908075,0.015779092702169626,2,1,4,1,0.0031133421997967922
Later vs Earlier Treated,2015,2014,-0.07227573040469726,0.052596975673898747,1,2,1,8,0.010377807332655973
Earlier vs Later Treated,2014,2017,-0.2410349545937972,0.04437869822485207,2,2,4,3,0.008756274936928477
Later vs Earlier Treated,2017,2014,0.012697462830108641,0.0621301775147929,2,2,3,6,0.012258784911699868
Earlier vs Later Treated,2014,2018,-0.04345420545276846,0.05325443786982249,2,2,4,4,0.010507529924314174
Later vs Earlier Treated,2018,2014,-0.07990343853172133,0.0591715976331361,2,2,4,5,0.011675033249237972
Earlier vs Later Treated,2014,2019,0.02388740547262591,0.056804733727810655,2,3,4,5,0.011208031919268453
Later vs Earlier Treated,2019,2014,-0.03653343938981901,0.05112426035502959,3,2,5,4,0.010087228727341607
Earlier vs Later Treated,2014,2020,-0.06939113075183567,0.05964497041420118,2,3,4,6,0.011768433515231875
Later vs Earlier Treated,2020,2014,-0.24869321742150485,0.04260355029585798,3,2,6,3,0.008406023939451338
Earlier vs Later Treated,2014,2021,-0.07341243100567107,0.0621301775147929,2,2,4,7,0.012258784911699868
Later vs Earlier Treated,2021,2014,-0.03552384450541202,0.03254437869822485,2,2,7,2,0.006421268287080884
Earlier vs Later Treated,2015,2017,-0.137758134284376,0.028928336620644313,1,2,5,2,0.0057077940329607856
Later vs Earlier Treated,2017,2015,0.18097842464882208,0.055226824457593686,2,1,2,6,0.010896697699288773
Earlier vs Later Treated,2015,2018,-0.039215614049042724,0.039447731755424056,1,2,5,3,0.0077833554994919795
Later vs Earlier Treated,2018,2015,0.002178192108290511,0.05259697567389875,2,1,3,5,0.010377807332655975
Earlier vs Later Treated,2015,2019,0.09556985948395413,0.03994082840236687,1,3,5,4,0.007880647443235632
Later vs Earlier Treated,2019,2015,0.1699688391508306,0.03994082840236687,3,1,4,4,0.007880647443235632
Earlier vs Later Treated,2015,2020,-0.016796616614451754,0.044378698224852076,1,3,5,5,0.008756274936928479
Later vs Earlier Treated,2020,2015,-0.028375259342544368,0.03328402366863905,3,1,5,3,0.006567206202696358
Earlier vs Later Treated,2015,2021,-0.08258763219687415,0.055226824457593686,1,2,5,6,0.010896697699288773
Later vs Earlier Treated,2021,2015,0.10254780796520435,0.028928336620644313,2,1,6,2,0.0057077940329607856
Earlier vs Later Treated,2017,2018,-0.0934417471122706,0.01775147928994083,2,2,7,1,0.003502509974771391
Later vs Earlier Treated,2018,2017,-0.30984144900808497,0.0591715976331361,2,2,1,5,0.011675033249237972
Earlier vs Later Treated,2017,2019,0.1936491358715785,0.031242603550295858,2,3,7,2,0.006164417555597649
Later vs Earlier Treated,2019,2017,-0.0679667035134125,0.05112426035502959,3,2,2,4,0.010087228727341607
Earlier vs Later Treated,2017,2020,0.13929168023108118,0.04260355029585798,2,3,7,3,0.008406023939451338
Later vs Earlier Treated,2020,2017,-0.23970955599596688,0.04260355029585798,3,2,3,3,0.008406023939451338
Earlier vs Later Treated,2017,2021,0.0792325609884521,0.05325443786982249,2,2,7,4,0.010507529924314174
Later vs Earlier Treated,2021,2017,-0.089280347965774,0.03254437869822485,2,2,4,2,0.006421268287080884
Earlier vs Later Treated,2018,2019,0.059453658745412974,0.017041420118343194,2,3,8,1,0.0033624095757805355
Later vs Earlier Treated,2019,2018,0.05529021237226783,0.05112426035502959,3,2,1,4,0.010087228727341607
Earlier vs Later Treated,2018,2020,0.0019020836797948304,0.031242603550295858,2,3,8,2,0.006164417555597649
Later vs Earlier Treated,2020,2018,-0.11357132123047509,0.04260355029585798,3,2,2,3,0.008406023939451338
Earlier vs Later Treated,2018,2021,-0.04984261456826655,0.04437869822485207,2,2,8,3,0.008756274936928477
Later vs Earlier Treated,2021,2018,0.10681875209510538,0.03254437869822485,2,2,3,2,0.006421268287080884
Earlier vs Later Treated,2019,2020,0.04782551398663015,0.01775147928994083,3,3,9,1,0.003502509974771391
Later vs Earlier Treated,2020,2019,-0.06790783676438195,0.04437869822485207,3,3,1,3,0.008756274936928477
Earlier vs Later Treated,2019,2021,-0.021406018086685075,0.031242603550295858,3,2,9,2,0.006164417555597649
Later vs Earlier Treated,2021,2019,0.09835215134655684,0.031242603550295858,2,3,2,2,0.006164417555597649
Earlier vs Later Treated,2020,2021,-0.1479870472801903,0.017041420118343194,3,2,10,1,0.0033624095757805355
Later vs Earlier Treated,2021,2020,0.0656961161508891,0.031242603550295858,2,3,1,2,0.006164417555597649
